"ID","group_id","location_id"
1,1,1
2,1,2
3,2,3
4,2,4
5,2,5
6,3,6
7,3,7
8,4,8
9,4,9
10,4,10
11,5,11
12,5,12
13,5,13
14,6,14
15,6,16
16,6,17
17,7,15
18,7,16
19,8,15
20,8,16
21,8,17
22,9,15
23,9,16
24,9,17
25,9,18
26,10,14
27,10,15
28,10,16
29,11,19
30,11,20
31,11,21
32,12,20
33,12,22
34,12,23
35,12,24
36,12,25
37,12,26
38,13,26
39,13,27
40,13,28
41,13,29
42,13,30
43,13,31
44,14,32
45,14,33
46,14,34
47,14,35
48,14,36
49,14,37
50,14,38
51,14,39
52,14,40
53,14,41
54,15,41
55,15,42
56,15,43
57,15,44
58,16,44
59,16,45
60,16,46
61,16,47
62,16,48
63,16,49
64,16,50
65,17,41
66,17,42
67,17,46
68,17,51
69,18,45
70,18,46
71,18,52
72,19,53
73,19,54
74,19,55
75,19,56
76,19,57
77,19,58
78,19,60
79,19,61
80,19,62
81,19,63
82,19,64
83,19,65
84,19,66
85,19,67
86,20,68
87,21,69
88,22,70
89,23,71
90,24,72
91,25,73
92,26,74
93,27,75
94,28,76
95,29,77
96,30,78
97,31,79
98,32,80
99,33,81
100,34,82
101,35,83
102,36,84
103,37,85
104,38,86
105,39,87
106,40,88
107,41,89
108,42,90
109,43,91
110,44,92
111,45,93
112,99,99
