"THANAME","DIV_CODE_1","DIST_COD_1","UPZ_CODE_1","Area"
"Shyampur",0,0,302676,2311000
"Sher-e-bangla Nagar",0,0,302680,4451000
"Sutrapur",0,0,302688,2213000
"Tejgaon",0,0,302690,2349000
"Tejgaon Ind. Area",0,0,302692,3405000
"Turag",0,0,302693,21950000
"Uttara",0,0,302695,6784000
"Uttar Khan",0,0,302696,20530000
"Alfadanga",30,3029,302903,132600000
"Bhanga",30,3029,302910,215700000
"Boalmari",30,3029,302918,275700000
"Char Bhadrasan",30,3029,302921,131300000
"Faridpur Sadar",30,3029,302947,376100000
"Madhukhali",30,3029,302956,235000000
"Nagarkanda",30,3029,302962,193000000
"Sadarpur",30,3029,302984,274800000
"Saltha",30,3029,302990,187400000
"Gazipur Sadar",30,3033,303330,458500000
"Kaliakair",30,3033,303332,313000000
"Kaliganj",30,3033,303334,221900000
"Kapasia",30,3033,303336,361800000
"Sreepur",30,3033,303386,460200000
"Gopalganj Sadar",30,3035,303532,382100000
"Kashiani",30,3035,303543,290500000
"Kotali Para",30,3035,303551,369200000
"Muksudpur",30,3035,303558,311500000
"Tungi Para",30,3035,303591,127600000
"Austagram",30,3048,304802,305100000
"Bajitpur",30,3048,304806,188800000
"Bhairab",30,3048,304811,118400000
"Hossainpur",30,3048,304827,121100000
"Itna",30,3048,304833,390200000
"Karimganj",30,3048,304842,202300000
"Katiadi",30,3048,304845,209600000
"Kishoreganj Sadar",30,3048,304849,173600000
"Kuliar Char",30,3048,304854,106400000
"Mithamain",30,3048,304859,222500000
"Nikli",30,3048,304876,201100000
"Pakundia",30,3048,304879,175800000
"Tarail",30,3048,304892,145000000
"Kalkini",30,3054,305440,268400000
"Madaripur Sadar",30,3054,305454,259300000
"Rajoir",30,3054,305480,236700000
"Shib Char",30,3054,305487,366400000
"Daulatpur",30,3056,305610,212700000
"Ghior",30,3056,305622,145500000
"Harirampur",30,3056,305628,265700000
"Manikganj Sadar",30,3056,305646,217600000
"Saturia",30,3056,305670,138700000
"Shibalaya",30,3056,305678,198700000
"Singair",30,3056,305682,214200000
"Gazaria",30,3059,305924,134800000
"Lohajang",30,3059,305944,137700000
"Munshiganj Sadar",30,3059,305956,169100000
"Serajdikhan",30,3059,305974,179700000
"Sreenagar",30,3059,305984,201100000
"Tongibari",30,3059,305994,112400000
"Araihazar",30,3067,306702,176900000
"Sonargaon",30,3067,306704,180000000
"Bandar",30,3067,306706,56880000
"Narayanganj Sadar",30,3067,306758,107000000
"Rupganj",30,3067,306768,184300000
"Belabo",30,3068,306807,117400000
"Manohardi",30,3068,306852,193600000
"Narsingdi Sadar",30,3068,306860,220100000
"Palash",30,3068,306863,95000000
"Roypura",30,3068,306864,322100000
"Shibpur",30,3068,306876,206200000
"Balia Kandi",30,3082,308207,231800000
"Goalandaghat",30,3082,308229,148500000
"Kalukhali",30,3082,308247,166900000
"Pangsha",30,3082,308273,258700000
"Rajbari Sadar",30,3082,308276,328300000
"Bhedarganj",30,3086,308614,273800000
"Damudya",30,3086,308625,95430000
"Gosairhat",30,3086,308636,175400000
"Naria",30,3086,308665,233200000
"Shariatpur Sadar",30,3086,308669,171300000
"Zanjira",30,3086,308694,237100000
"Basail",30,3093,309309,146800000
"Bhuapur",30,3093,309319,232500000
"Delduar",30,3093,309323,169800000
"Dhanbari",30,3093,309325,134400000
"Ghatail",30,3093,309328,452700000
"Gopalpur",30,3093,309338,190000000
"Kalihati",30,3093,309347,299900000
"Madhupur",30,3093,309357,375300000
"Mirzapur",30,3093,309366,366300000
"Nagarpur",30,3093,309376,253200000
"Sakhipur",30,3093,309385,434900000
"Tangail Sadar",30,3093,309395,297300000
"Bakshiganj",35,3539,353907,208800000
"Dewanganj",35,3539,353915,266300000
"Islampur",35,3539,353929,340100000
"Jamalpur Sadar",35,3539,353936,497100000
"Madarganj",35,3539,353958,224400000
"Melandaha",35,3539,353961,240700000
"Sarishabari",35,3539,353985,257600000
"Bhaluka",35,3561,356113,446100000
"Dhobaura",35,3561,356116,257000000
"Fulbaria",35,3561,356120,396200000
"Gaffargaon",35,3561,356122,397100000
"Gauripur",35,3561,356123,282300000
"Haluaghat",35,3561,356124,351900000
"Ishwarganj",35,3561,356131,279300000
"Mymensingh Sadar",35,3561,356152,381300000
"Muktagachha",35,3561,356165,313300000
"Nandail",35,3561,356172,326100000
"Phulpur",35,3561,356181,565900000
"Trishal",35,3561,356194,336400000
"Atpara",35,3572,357204,188600000
"Barhatta",35,3572,357209,221800000
"Durgapur",35,3572,357218,278200000
"Khaliajuri",35,3572,357238,294200000
"Kalmakanda",35,3572,357240,386300000
"Kendua",35,3572,357247,309500000
"Madan",35,3572,357256,228100000
"Mohanganj",35,3572,357263,243900000
"Netrokona Sadar",35,3572,357274,332500000
"Purbadhala",35,3572,357283,312300000
"Jhenaigati",35,3589,358937,202300000
"Nakla",35,3589,358967,165900000
"Nalitabari",35,3589,358970,332300000
"Sherpur Sadar",35,3589,358988,339000000
"Sreebardi",35,3589,358990,266500000
"Bagerhat Sadar",40,4001,400108,314900000
"Chitalmari",40,4001,400114,195800000
"Fakirhat",40,4001,400134,158500000
"Kachua",40,4001,400138,124900000
"Mollahat",40,4001,400156,176600000
"Mongla",40,4001,400158,1466000000
"Morrelganj",40,4001,400160,442300000
"Rampal",40,4001,400173,277500000
"Sarankhola",40,4001,400177,903200000
"Alamdanga",40,4018,401807,365200000
"Chuadanga Sadar",40,4018,401823,287200000
"Damurhuda",40,4018,401831,300200000
"Jiban Nagar",40,4018,401855,197600000
"Abhaynagar",40,4041,404104,243600000
"Bagher Para",40,4041,404109,274700000
"Chaugachha",40,4041,404111,268300000
"Jhikargachha",40,4041,404123,306700000
