"plot_plot_id","lf_lf_id","_lf_photos_position","lf_photo","pic_pos","pic_pos_label"
"233","1","3","13_1a522841-06b0-4c4d-8891-5303870f92c1.jpg","3","Centre > South"
"233","1","4","13_82b847a3-92f9-4b50-bcc3-94d14339f37e.jpg","4","Centre > West"
"233","2","1","13_d9fb2fc3-7c15-46d2-b7c3-d8d37744d655.jpg","1","Centre > North"
"233","2","2","13_8fa5f0c0-5eb7-4f79-b3f2-6ddece4ccc3d.jpg","2","Centre > East"
"233","2","3","13_1d1dcc07-e901-4c3b-a226-a124789fc8be.jpg","3","Centre > South"
"233","2","4","13_d36a9bca-ef46-4cf0-b3fb-3028d72f35b8.jpg","4","Centre > West"
"272","1","1","14_12a10025-e4d6-4213-a7eb-024f3217a6f0.jpg","1","Centre > North"
"272","1","2","14_b520b85a-01f1-4ffb-95d5-362a83ef483b.jpg","2","Centre > East"
"272","1","3","14_54e3df16-9999-4266-ba75-a68d0e31f933.jpg","3","Centre > South"
"272","1","4","14_feaa0c91-08ea-46e5-9a93-984761a6cdc3.jpg","4","Centre > West"
"272","2","1","14_b4fc2adc-958d-463d-a8a9-c7becf5d0dc4.jpg","1","Centre > North"
"272","2","2","14_29b7ae96-ddcd-420a-b0d9-4275ad1ac358.jpg","2","Centre > East"
"272","2","3","14_6a4c1a0f-4482-44fc-a575-8ba55a9d11b1.jpg","3","Centre > South"
"272","2","4","14_86c1cc71-a052-45ce-90c1-78179827ff20.jpg","4","Centre > West"
"130","1","1","15_bed862ad-5655-45ce-bce5-c08fa88ecd40.jpg","1","Centre > North"
"130","1","2","15_6fcc30b4-a3dc-4daa-91d3-c09fa2d369f4.jpg","2","Centre > East"
"130","1","3","15_5cd81c4f-2662-4108-831d-c5adb2c96e0a.jpg","3","Centre > South"
"130","1","4","15_62da21e2-0375-4d8e-8837-bbf72a70702b.jpg","4","Centre > West"
"307","1","1","16_739f9e18-beb5-48cb-9f64-e8701492c426.jpg","1","Centre > North"
"307","1","2","16_be06bb90-bbd5-4708-aa2a-1b6ba0a13ec5.jpg","2","Centre > East"
"307","1","3","16_880af29f-2d0a-4095-acd7-bbe2557e33e0.jpg","3","Centre > South"
"307","1","4","16_5c6435ba-d144-421f-962f-ef576b18ee7e.jpg","4","Centre > West"
"1509","1","1","17_9e4464a8-077b-42c6-bce7-0186c523316b.jpg","1","Centre > North"
"1509","1","2","17_8ab8e081-76bc-4301-acf9-40019b7832af.jpg","2","Centre > East"
"1509","1","3","17_fb72f6cd-60f9-4f85-97a6-142f4d5d957d.jpg","3","Centre > South"
"1509","1","4","17_358b7387-133b-4f8d-a865-fa8a46a0c4af.jpg","4","Centre > West"
"1510","1","1","18_13623c23-25e6-478b-babd-9dd6a2e5fe00.jpg","1","Centre > North"
"1510","1","2","18_df9c8735-1592-4960-9a8c-7fb82aed80a3.jpg","2","Centre > East"
"1510","1","3","18_b1a8a83e-bc9f-4d7f-88c8-885d26d9d7d4.jpg","3","Centre > South"
"1510","1","4","18_16edec7e-f939-403c-a858-ca20b0f8cc5d.jpg","4","Centre > West"
"1525","1","1","19_815effdd-2be6-4488-814c-fc22902e64a5.jpg","1","Centre > North"
"1525","1","2","19_befe6ed7-2036-4107-8481-746e27aa9148.jpg","2","Centre > East"
"1525","1","3","19_eb801617-3aeb-4dd7-b099-c85f82ee378a.jpg","3","Centre > South"
"1525","1","4","19_9ffd3c8f-0d89-4044-8737-e64915f59448.jpg","4","Centre > West"
"1525","2","1","19_9e6e327c-4c81-481c-aa5a-80f1cad362a9.jpg","2","Centre > East"
"1525","2","2","19_d6e80760-ff41-4ef3-90cf-72a36d10d38d.jpg","3","Centre > South"
"1712","1","1","20_7fcb8ef5-086d-48ba-9dcd-1364eb3df82f.jpg","1","Centre > North"
"1712","1","2","20_1a66aa5a-02ac-40f4-b789-d95ebe1eb084.jpg","2","Centre > East"
"1712","1","3","20_de717fc5-7515-4181-ad95-33f067b40228.jpg","3","Centre > South"
"1712","1","4","20_d02e95aa-5819-4227-8559-0d4b3e2a7ef7.jpg","4","Centre > West"
"1715","1","1","21_a4d4c5c1-f3b6-4725-b130-bd81a223ee16.jpg","1","Centre > North"
"1715","1","2","21_5c2d50e2-4c89-4e13-8da5-7cefa5bf1da2.jpg","2","Centre > East"
"1715","1","3","21_8cee9d85-4f0e-4c5b-8167-536b167f929b.jpg","3","Centre > South"
"1715","1","4","21_1330117c-f9e8-4afe-8991-f23238c32dfa.jpg","4","Centre > West"
"1715","2","1","21_e52141d2-305a-4865-b464-2929e604a40a.jpg","6","East > Centre"
"1715","2","2","21_5bf67a21-40b5-4115-9153-ea13388af772.jpg","7","South > Centre"
"1715","2","3","21_1d000527-5abe-4741-8fe8-f3631b5747f2.jpg","2","Centre > East"
"1707","1","1","22_b6630844-45a6-44de-b9cf-1b0f7a6a5810.jpg","1","Centre > North"
"1707","1","2","22_c06da69a-7134-4dde-9b0b-026866aee6b3.jpg","2","Centre > East"
"1707","1","3","22_b9f54744-eb6d-41e1-992e-e8f7f1cf8ceb.jpg","3","Centre > South"
"1707","1","4","22_415fce2c-7bda-42fb-8c35-27a565ef9b40.jpg","4","Centre > West"
"1705","1","1","23_c49d13b3-d6a4-4899-bc55-26efe984a764.jpg","1","Centre > North"
"1705","1","2","23_bfc5ac7b-acc7-4584-8df5-5d1ec3b75250.jpg","2","Centre > East"
"1705","1","3","23_1e8789a7-5efd-436c-a533-27f3e10ef15e.jpg","3","Centre > South"
"1705","1","4","23_b764bb95-eb53-4259-ab39-c4a430f41595.jpg","4","Centre > West"
"949","1","1","24_124d139c-34f1-43d1-803e-714bb6bd5a41.jpg","1","Centre > North"
"949","1","2","24_1fe6e8d6-58ea-4d4c-b091-13eb008f0656.jpg","2","Centre > East"
"949","1","3","24_da8537e7-e419-4d23-9b1c-ffedb0821207.jpg","3","Centre > South"
"949","1","4","24_9cd01dce-07e3-4df4-884b-a8cd45dd2179.jpg","4","Centre > West"
"240","1","1","25_3f98c2d6-d0ae-4f8b-90a4-b97f3ca1698c.jpg","1","Centre > North"
"240","1","2","25_aa65c624-868d-4209-b4b1-b567a94f9393.jpg","2","Centre > East"
"240","1","3","25_5a8d9ba6-d691-4375-9104-ae8962300db3.jpg","3","Centre > South"
"240","1","4","25_88fbeec0-a783-4aab-be6d-6220e45d84c4.jpg","4","Centre > West"
"240","2","1","25_6aaa1884-f1e1-4e9e-a72f-63c774346842.jpg","5","North > Centre"
"240","2","2","25_ed6d3e51-a7a0-4044-ac7a-3b4be32ac3fb.jpg","8","West > Centre"
"240","2","3","25_f1c35c2a-bc5f-43f4-8c65-ecaf53e5be8d.jpg","7","South > Centre"
"240","2","4","25_affacfc3-c61e-440f-ba51-c6b83a9bd774.jpg","6","East > Centre"
"257","1","1","26_860d3349-3aab-47f5-8cb2-1802e810d875.jpg","8","West > Centre"
"257","1","2","26_3406de27-9d5a-4bbb-91f4-b82a5e7a85ce.jpg","5","North > Centre"
"257","1","3","26_751db00e-3d6c-4e7e-9c56-464c7d7ef4ad.jpg","6","East > Centre"
"257","1","4","26_2d8b7fe8-7e57-4221-9511-52b1b742765d.jpg","1","Centre > North"
"257","2","1","26_086924bc-ef08-45d4-9b19-4dac06a82790.jpg","6","East > Centre"
"257","2","2","26_60f87b42-0669-4228-a641-4f6c5551d6c2.jpg","5","North > Centre"
"257","2","3","26_415faf53-9d2f-4cef-9ec0-9c8532055220.jpg","8","West > Centre"
