plot_id,plot_record_plot_date,plot_record_plot_date_year,plot_record_plot_date_month,plot_record_plot_date_day,plot_record_arriving_from,plot_record_arriving_from_qualifier,plot_record_arriving_from_label,plot_record_time_dep,plot_record_time_dep_hour,plot_record_time_dep_minute,plot_record_plot_do_from,plot_record_plot_do_from_qualifier,plot_record_plot_do_from_label,plot_record_time_start,plot_record_time_start_hour,plot_record_time_start_minute,location_zone,location_coordinate,location_coordinate_srs,location_coordinate_x,location_coordinate_y,location_plot_location,location_forest_admin_forest_div,location_forest_admin_forest_div_qualifier,location_forest_admin_forest_div_label,location_forest_admin_forest_rang,location_forest_admin_forest_rang_label,location_forest_admin_forest_beat,location_forest_admin_forest_beat_qualifier,location_forest_admin_forest_beat_label,location_forest_admin_forest_other,plot_details_plot_teamnbr,plot_details_plot_teamnbr_qualifier,plot_details_plot_teamnbr_label,plot_details_plot_leader,plot_details_plot_dleader,plot_details_plot_status,plot_details_plot_status_label,plot_details_plot_nonsample_reason,plot_details_plot_nonsample_reason_qualifier,plot_details_plot_nonsample_reason_label,plot_details_plot_access_sketch,rp_attributes_start_time_collection,rp_attributes_start_time_collection_hour,rp_attributes_start_time_collection_minute,rp_attributes_rp_subplot,rp_attributes_rp_subplot_label,rp_attributes_rp_type,rp_attributes_rp_type_qualifier,rp_attributes_rp_type_label,rp_attributes_rp_spp_code,rp_attributes_rp_spp_scientific_name,rp_attributes_rp_spp_vernacular_name,rp_attributes_rp_spp_language_code,rp_attributes_rp_spp_language_variety,rp_attributes_rp_dia,rp_attributes_rp_bearing,rp_attributes_rp_bearing_unit_name,rp_attributes_rp_dist,rp_attributes_rp_dist_unit_name,rp_attributes_rp_gps,rp_attributes_rp_gps_srs,rp_attributes_rp_gps_x,rp_attributes_rp_gps_y,rp_attributes_rp_pic,rp_attributes_rp_notes,plot_end_lf_sketch,plot_end_plot_to,plot_end_plot_to_qualifier,plot_end_plot_to_label,plot_end_plot_do_to,plot_end_plot_do_to_qualifier,plot_end_plot_do_to_label,plot_end_plot_notes,plot_end_end_time,plot_end_end_time_hour,plot_end_end_time_minute
7,29/12/2016,2016,12,29,2,Mother Vessel (Tricon Island),Another plot / Other,08:00,8,0,999,Ambaria,Other,10:45,10,45,,SRID=EPSG:4326;POINT(89.658630 21.786678),EPSG:4326,90.35863,21.086678,"Khulna
Bagerhat
Mongla
Sundarban",42,Sundarban East Forest,Sundarban East Forest,,,999,Dubla,Other,Shoronkhula Range,4,,Inventory Team 4,Md. Sajjaduzzaman,Md. Rezaul Karim,1,Accessible - Sampled completely,,,,105_04444c15-723b-474b-bb12-8b495c338db1.jpg,11:29,11,29,1,Centre,1,,Tree,MEL/Xyl/mek,Xylocarpus mekongensis,,,,19,278,,9.52,,SRID=EPSG:4326;POINT(89.658740 21.786700),EPSG:4326,89.65874,21.7867,105_1da80b2a-bd1b-4b5d-8f5a-a7259363465d.jpg,,105_34b18f4e-b4c8-4ea2-ba95-546db6ed68e7.jpg,2,Mother Vessel,Another plot / Other,999,Ambaria,Other,,16:00,16,0
821,11/01/2017,2017,1,11,2,Mother Vessel,Another plot / Other,06:30,6,30,,,,08:50,8,50,,SRID=EPSG:4326;POINT(89.091963 21.911678),EPSG:4326,89.791963,21.211678,"Khulna
Satkhira
Shyamnagar
Satkhira Range",43,Sundarban West Forest,Sundarban West Forest,341,Satkhira Range,,,,,4,,Inventory Team 4,Md. Sajjaduzzaman,Md. Rezaul Karim,1,Accessible - Sampled completely,,,,106_ed395b32-65cd-4cdd-a524-63b002fce981.jpg,11:29,11,29,1,Centre,1,,Tree,EUP/Exc/aga,Excoecaria agallocha,,,,18.1,63,,8,,SRID=EPSG:4326;POINT(89.091890 21.911660),EPSG:4326,89.09189,21.91166,106_f664730f-1d48-4d5f-8d97-12f9cfc6eab9.jpg,,106_77f6159c-b357-4517-b605-544914523128.jpg,2,Plot-816,Another plot / Other,,,,,10:00,10,0
833,05/01/2017,2017,1,5,2,Plot-516,Another plot / Other,12:00,12,0,,,,14:30,14,30,,SRID=EPSG:4326;POINT(89.275296 22.011678),EPSG:4326,89.975296,21.311678,"Khulna
Satkhira
Shyamnagar
Satkhira Range",43,Sundarban West Forest,Sundarban West Forest,341,Satkhira Range,999,Pushpokathi,Other,,4,,Inventory Team 4,Md. Sajjaduzzaman,Md. Rezaul Karim,1,Accessible - Sampled completely,,,,107_19143b4e-b2cf-47cd-a105-a03cb77ff1db.jpg,11:29,11,29,1,Centre,1,,Tree,EUP/Exc/aga,Excoecaria agallocha,,,,19.3,268,,4.05,,SRID=EPSG:4326;POINT(89.275350 22.011690),EPSG:4326,89.27535,22.01169,,,107_e710d43b-9a4f-4c94-b85b-3f79157dd238.jpg,2,Mother Vessel,Another plot / Other,,,,,16:10,16,10
814,08/01/2017,2017,1,8,2,Mother Vessel,Another plot / Other,06:30,6,30,,,,08:25,8,25,,SRID=EPSG:4326;POINT(89.241963 21.861678),EPSG:4326,89.941963,21.161678,"Khulna
Satkhira
Shyamnagar
Satkhira Range",43,Sundarban West Forest,Sundarban West Forest,341,Satkhira Range,999,Pushpokathi,Other,,4,,Inventory Team 4,Md. Sajjaduzzaman,Md. Rezaul Karim,2,Partially accessible,4,,Water,108_b7f95e7a-8771-49e2-9a00-17a5629bd90b.jpg,11:29,11,29,1,Centre,1,,Tree,UNK,Other unknowntree,,,,24.5,169,,3.5,,SRID=EPSG:4326;POINT(89.241960 21.861680),EPSG:4326,89.24196,21.86168,108_d3494a19-87d1-4c0d-b97c-e2e39592b028.jpg,"WO-3, tree name: Dhundol",108_76070399-6d05-4bc5-b9f3-1d9ef776f851.jpg,2,Plot-815,Another plot / Other,,,,,13:05,13,5
828,13/01/2017,2017,1,13,2,Mother Vessel,Another plot / Other,07:00,7,0,,,,09:53,9,53,,SRID=EPSG:4326;POINT(89.141963 21.986678),EPSG:4326,89.841963,21.286678,"Khulna
Satkhira
Shyamnagar
Satkhira Range",43,Sundarban West Forest,Sundarban West Forest,341,Satkhira Range,999,Notabaki,Other,,4,,Inventory Team 4,Md. Sajjaduzzaman,Md. Rezaul Karim,1,Accessible - Sampled completely,,,,109_c220dd12-dc65-41fe-9e58-cba0de55d1eb.jpg,11:29,11,29,1,Centre,1,,Tree,EUP/Exc/aga,Excoecaria agallocha,,,,17.1,229,,12.8,,SRID=EPSG:4326;POINT(89.142070 21.986760),EPSG:4326,89.14207,21.98676,109_e923a328-1eb0-4f55-b4c5-0a834560d07a.jpg,,109_735827b6-d14d-4a2d-8482-2e45a02bc5d5.jpg,2,Plot-832,Another plot / Other,,,,,12:05,12,5
811,11/01/2017,2017,1,11,2,Plot-816,Another plot / Other,13:30,13,30,,,,15:15,15,15,,SRID=EPSG:4326;POINT(89.075296 21.836678),EPSG:4326,89.775296,21.136678,"Khulna
Satkhira
Shyamnagar
Satkhira Range",43,Sundarban West Forest,Sundarban West Forest,341,Satkhira Range,,,,,4,,Inventory Team 4,Md. Sajjaduzzaman,Md. Rezaul Karim,2,Partially accessible,4,,Water,110_7af55a97-f661-47f0-b40e-6b7dab7d5557.jpg,11:29,11,29,1,Centre,1,,Tree,EUP/Exc/aga,Excoecaria agallocha,,,,25.9,145,,5.7,,SRID=EPSG:4326;POINT(89.072500 21.836770),EPSG:4326,89.0725,21.83677,110_95338449-c6c0-48d9-a24b-776c75649d11.jpg,Within the canal and W.O.,110_64d853fe-3b66-4c01-a407-f88418f7c88c.jpg,2,Mother Vessel,Another plot / Other,,,,,17:00,17,0
822,07/01/2017,2017,1,7,2,Plot-824,Another plot / Other,12:25,12,25,,,,13:30,13,30,,SRID=EPSG:4326;POINT(89.191963 21.911678),EPSG:4326,89.891963,21.211678,"Khulna
Satkhira
Shyamnagar
Satkhira Range",43,Sundarban West Forest,Sundarban West Forest,341,Satkhira Range,999,Pushpokathi,Other,,4,,Inventory Team 4,Md. Sajjaduzzaman,Md. Rezaul Karim,2,Partially accessible,2,,Hazardous,111_b6c15193-1e0c-40c0-9bec-551714e7fd07.jpg,11:29,11,29,1,Centre,1,,Tree,STE/Hel/fom,Heritiera fomes,,,,16.5,188,,3.5,,SRID=EPSG:4326;POINT(89.191960 21.911740),EPSG:4326,89.19196,21.91174,111_879e7b6b-2cab-4f40-b2cb-f8770a8dad0f.jpg,,,2,Mother Vessel,Another plot / Other,,,,,16:25,16,25
831,12/01/2017,2017,1,12,2,plot no.818,Another plot / Other,12:15,12,15,,,,15:45,15,45,,SRID=EPSG:4326;POINT(89.108630 22.011678),EPSG:4326,89.80863,21.311678,"Khulna
Satkhira
Shyamnagar
Satkhira Range",43,Sundarban West Forest,Sundarban West Forest,341,Satkhira Range,999,koikhali,Other,Koikhali,4,,Inventory Team 4,Md. Sajjaduzzaman,Md. Rezaul karim,1,Accessible - Sampled completely,,,,112_994bc3cd-4588-4d86-9ff1-900b0c520554.jpg,11:29,11,29,1,Centre,1,,Tree,MEL/Xyl/mek,Xylocarpus mekongensis,,,,47.2,120,,10.7,,SRID=EPSG:4326;POINT(89.108540 22.011710),EPSG:4326,89.10854,22.01171,112_a529861b-7800-49c0-8190-2a1b52adf5b0.jpg,Rp picture is taken from the approach,,2,Mother Vessel (Notabaki),Another plot / Other,,,,,17:00,17,0
803,09/01/2017,2017,1,9,2,Plot-804,Another plot / Other,14:48,14,48,,,,15:26,15,26,,SRID=EPSG:4326;POINT(89.241963 21.711678),EPSG:4326,89.941963,21.011678,"Khulna
Satkhira
Shyamnagar
Satkhira Range",43,Sundarban West Forest,Sundarban West Forest,341,Satkhira Range,,,,,4,,Inventory Team 4,Md. Sajjaduzzaman,Md.vRezaul Karim,1,Accessible - Sampled completely,,,,113_5e7bac44-7b7f-4afc-8af6-718f3b2209d2.jpg,11:29,11,29,1,Centre,1,,Tree,STE/Hel/fom,Heritiera fomes,,,,26.1,28,,9.78,,SRID=EPSG:4326;POINT(89.241910 21.711610),EPSG:4326,89.24191,21.71161,113_3e12b153-8285-43af-a787-8e9df8122e47.jpg,,113_5393eb8a-44eb-48f3-bda2-d3018e7800df.jpg,2,Mother Vessel,Another plot / Other,,,,,17:24,17,24
843,14/01/2017,2017,1,14,2,Plot-839,Another plot / Other,12:10,12,10,,,,14:05,14,5,,SRID=EPSG:4326;POINT(89.225296 22.111678),EPSG:4326,89.925296,21.411678,"Khulna
Satkhira
Shyamnagar
Satkhira Range",43,Sundarban West Forest,Sundarban West Forest,341,Satkhira Range,999,Dubeki,Other,,4,,Inventory Team 4,Md. Sajjaduzzaman,Md. Rezaul Karim,2,Partially accessible,4,,Water,114_78eaadad-af9c-40ea-9ee3-bbc9a28b950b.jpg,11:29,11,29,1,Centre,1,,Tree,MEL/Xyl/mek,Xylocarpus mekongensis,,,,34.8,192,,7.9,,SRID=EPSG:4326;POINT(89.225330 22.111730),EPSG:4326,89.22533,22.11173,114_9fcda32b-b3b5-4030-8c3d-d9c0b2fd96d9.jpg,,114_74195b48-c723-4191-b1d1-b625fb96f9f4.jpg,2,Mother Vessel (Dubeki),Another plot / Other,,,,,16:00,16,0
