"ID_WD","Tree_type","Vegetation_type","Region","location_group","Ecoregion_Udvardy","Ecoregion_WWF","Division_Bailey","Zone_Holdridge","ID_species","ID_reference","ID_RD","H_tree_avg","H_tree_min","H_tree_max","DBH_tree_avg","DBH_tree_min","DBH_tree_max","m_WD","MC_m","V_WD","MC_V","CR","FSP","Methodology_Green","Methodology_Airdry","Bark","Methodology_Ovendry","Density_green","Density_airdry","Density_ovendry","MC_Density","Data_origin","Data_type","Samples_per_tree","Number_of_trees","SD","Min","Max","H_measure","Bark_distance","CV","Convert_BD","Contributor","Remark"
79,"Tree","NA","NA",99,"NA","NA","NA","NA",1083,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.68,0.74,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
80,"Tree","NA","NA",99,"NA","NA","NA","NA",535,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.48",0.51,0.55,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
81,"Tree","NA","NA",99,"NA","NA","NA","NA",547,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.22",0.23,0.24,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","light"
82,"Tree","NA","NA",99,"NA","NA","NA","NA",543,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.25",0.3,0.31,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","light"
83,"Tree","NA","NA",99,"NA","NA","NA","NA",552,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.54",0.59,0.68,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
84,"Tree","NA","NA",99,"NA","NA","NA","NA",,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.64",0.67,0.76,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy"
85,"Tree","NA","NA",99,"NA","NA","NA","NA",1436,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.64",0.7,0.78,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy"
86,"Tree","NA","NA",99,"NA","NA","NA","NA",558,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.75",0.82,0.87,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Very heavy"
87,"Tree","NA","NA",99,"NA","NA","NA","NA",578,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.4,0.43,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
88,"Tree","NA","NA",99,"NA","NA","NA","NA",1448,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.64,0.7,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
89,"Tree","NA","NA",99,"NA","NA","NA","NA",587,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.39,0.42,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
91,"Tree","NA","NA",99,"NA","NA","NA","NA",627,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.42,0.45,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
92,"Tree","NA","NA",99,"NA","NA","NA","NA",631,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.68,0.75,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
93,"Tree","NA","NA",99,"NA","NA","NA","NA",641,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.5",0.52,0.56,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
94,"Tree","NA","NA",99,"NA","NA","NA","NA",651,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.67,0.73,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
95,"Tree","NA","NA",99,"NA","NA","NA","NA",658,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.65,0.69,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
96,"Tree","NA","NA",99,"NA","NA","NA","NA",672,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.66,0.72,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
97,"Tree","NA","NA",99,"NA","NA","NA","NA",685,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.46,0.5,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
98,"Tree","NA","NA",99,"NA","NA","NA","NA",685,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.41",0.42,0.44,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","light"
99,"Tree","NA","NA",99,"NA","NA","NA","NA",583,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.73,0.79,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
100,"Tree","NA","NA",99,"NA","NA","NA","NA",9999,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.96,1.1,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Very heavy wood"
101,"Tree","NA","NA",99,"NA","NA","NA","NA",9999,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.81",0.94,1.01,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Very heavy"
102,"Tree","NA","NA",99,"NA","NA","NA","NA",736,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.51",0.54,0.56,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
103,"Tree","NA","NA",99,"NA","NA","NA","NA",741,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.58,0.64,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
104,"Tree","NA","NA",99,"NA","NA","NA","NA",1446,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.45,0.48,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
105,"Tree","NA","NA",99,"NA","NA","NA","NA",749,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.35,0.37,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
106,"Tree","NA","NA",99,"NA","NA","NA","NA",749,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.37",0.38,0.4,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","light"
107,"Tree","NA","NA",99,"NA","NA","NA","NA",1440,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.8",0.86,0.93,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Very heavy"
108,"Tree","NA","NA",99,"NA","NA","NA","NA",759,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.61,0.64,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
109,"Tree","NA","NA",99,"NA","NA","NA","NA",759,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.59",0.62,0.64,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
110,"Tree","NA","NA",99,"NA","NA","NA","NA",763,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.61,0.65,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
111,"Tree","NA","NA",99,"NA","NA","NA","NA",767,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.4",0.41,0.42,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","light"
112,"Tree","NA","NA",99,"NA","NA","NA","NA",808,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.67,0.73,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
113,"Tree","NA","NA",99,"NA","NA","NA","NA",810,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.51",0.57,0.61,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
114,"Tree","NA","NA",99,"NA","NA","NA","NA",810,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.64,9.68,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
115,"Tree","NA","NA",99,"NA","NA","NA","NA",813,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.58",0.62,0.65,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
116,"Tree","NA","NA",99,"NA","NA","NA","NA",813,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.63,0.67,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
117,"Tree","NA","NA",99,"NA","NA","NA","NA",1441,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.42,0.44,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
118,"Tree","NA","NA",99,"NA","NA","NA","NA",1442,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.49,0.53,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
119,"Tree","NA","NA",99,"NA","NA","NA","NA",1442,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.38",0.39,0.42,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","light"
120,"Tree","NA","NA",99,"NA","NA","NA","NA",906,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.48,0.53,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
121,"Tree","NA","NA",99,"NA","NA","NA","NA",909,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.51,0.54,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
122,"Tree","NA","NA",99,"NA","NA","NA","NA",906,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.52",0.53,0.54,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
123,"Tree","NA","NA",99,"NA","NA","NA","NA",909,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.49",0.5,0.54,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
124,"Tree","NA","NA",99,"NA","NA","NA","NA",923,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.4",0.43,0.46,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","light"
125,"Tree","NA","NA",99,"NA","NA","NA","NA",942,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.9,0.94,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Very heavy wood"
126,"Tree","NA","NA",99,"NA","NA","NA","NA",942,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.84",0.91,1.03,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Very heavy"
127,"Tree","NA","NA",99,"NA","NA","NA","NA",1428,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.61,0.67,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
128,"Tree","NA","NA",99,"NA","NA","NA","NA",1428,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.53",0.56,0.59,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
129,"Tree","NA","NA",99,"NA","NA","NA","NA",1444,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.5,0.52,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
130,"Tree","NA","NA",99,"NA","NA","NA","NA",965,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.69,0.75,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
131,"Tree","NA","NA",99,"NA","NA","NA","NA",977,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.6,0.65,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
132,"Tree","NA","NA",99,"NA","NA","NA","NA",978,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.58",0.65,0.68,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
133,"Tree","NA","NA",99,"NA","NA","NA","NA",1432,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.36",0.38,0.39,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","light"
134,"Tree","NA","NA",99,"NA","NA","NA","NA",1011,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.74,0.82,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
135,"Tree","NA","NA",99,"NA","NA","NA","NA",1039,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.39",0.4,0.42,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","light"
136,"Tree","NA","NA",99,"NA","NA","NA","NA",1041,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.54,0.59,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
137,"Tree","NA","NA",99,"NA","NA","NA","NA",1041,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.56",0.57,0.6,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
138,"Tree","NA","NA",99,"NA","NA","NA","NA",1103,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.5,0.54,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
139,"Tree","NA","NA",99,"NA","NA","NA","NA",1103,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.43",0.44,0.52,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","light"
140,"Tree","NA","NA",99,"NA","NA","NA","NA",1112,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.54",0.59,0.62,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
141,"Tree","NA","NA",99,"NA","NA","NA","NA",1127,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.75",0.84,0.88,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Very heavy"
142,"Tree","NA","NA",99,"NA","NA","NA","NA",1140,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.51,0.56,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
143,"Tree","NA","NA",99,"NA","NA","NA","NA",1140,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.56",0.58,0.62,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
144,"Tree","NA","NA",99,"NA","NA","NA","NA",1144,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.45,0.5,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
145,"Tree","NA","NA",99,"NA","NA","NA","NA",1144,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.57",0.63,0.66,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
146,"Tree","NA","NA",99,"NA","NA","NA","NA",846,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.59,0.64,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
147,"Tree","NA","NA",99,"NA","NA","NA","NA",1445,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.66,0.73,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
148,"Tree","NA","NA",99,"NA","NA","NA","NA",296,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.8,0.84,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Very heavy wood"
150,"Tree","NA","NA",99,"NA","NA","NA","NA",194,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.37,0.41,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
151,"Tree","NA","NA",99,"NA","NA","NA","NA",195,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.42,0.44,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
152,"Tree","NA","NA",99,"NA","NA","NA","NA",1424,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.39,0.41,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
153,"Tree","NA","NA",99,"NA","NA","NA","NA",1424,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.54",0.57,0.59,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
154,"Tree","NA","NA",99,"NA","NA","NA","NA",1433,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.4,0.42,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
155,"Tree","NA","NA",99,"NA","NA","NA","NA",1207,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.56,0.61,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
156,"Tree","NA","NA",99,"NA","NA","NA","NA",1207,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.61",0.66,0.72,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy"
157,"Tree","NA","NA",99,"NA","NA","NA","NA",1210,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.91,0.94,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Very heavy wood"
158,"Tree","NA","NA",99,"NA","NA","NA","NA",1231,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.75,0.83,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy wood"
159,"Tree","NA","NA",99,"NA","NA","NA","NA",1231,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.73",0.78,0.82,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Heavy"
160,"Tree","NA","NA",99,"NA","NA","NA","NA",1244,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.5,0.54,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
161,"Tree","NA","NA",99,"NA","NA","NA","NA",1244,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.51",0.54,0.56,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
162,"Tree","NA","NA",99,"NA","NA","NA","NA",1254,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.25,0.29,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
163,"Tree","NA","NA",99,"NA","NA","NA","NA",1204,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.41,0.43,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
