"ID_WD","Tree_type","Vegetation_type","Region","location_group","Ecoregion_Udvardy","Ecoregion_WWF","Division_Bailey","Zone_Holdridge","ID_species","ID_reference","ID_RD","H_tree_avg","H_tree_min","H_tree_max","DBH_tree_avg","DBH_tree_min","DBH_tree_max","m_WD","MC_m","V_WD","MC_V","CR","FSP","Methodology_Green","Methodology_Airdry","Bark","Methodology_Ovendry","Density_green","Density_airdry","Density_ovendry","MC_Density","Data_origin","Data_type","Samples_per_tree","Number_of_trees","SD","Min","Max","H_measure","Bark_distance","CV","Convert_BD","Contributor","Remark"
18,"Tree","NA","NA",99,"NA","NA","NA","NA",1425,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.43",0.44,0.47,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","light"
19,"Tree","NA","NA",99,"NA","NA","NA","NA",102,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.57,0.63,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
20,"Tree","NA","NA",99,"NA","NA","NA","NA",102,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.55",0.6,0.62,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
21,"Tree","NA","NA",99,"NA","NA","NA","NA",131,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.48,0.51,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
22,"Tree","NA","NA",99,"NA","NA","NA","NA",1426,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.48,0.53,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Light wood"
23,"Tree","NA","NA",99,"NA","NA","NA","NA",130,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.54,0.58,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
24,"Tree","NA","NA",99,"NA","NA","NA","NA",1426,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.44",0.47,0.49,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","light"
25,"Tree","NA","NA",99,"NA","NA","NA","NA",130,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.46",0.48,0.49,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","light"
26,"Tree","NA","NA",99,"NA","NA","NA","NA",131,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Water displacement method","Direct measurement of the dimension of the specimen","NA","Water displacement method","0.45",0.51,0.53,"NA","Biblio","Average","54","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderate heavy"
27,"Tree","NA","NA",99,"NA","NA","NA","NA",140,49,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Direct measurement of the dimension of the specimen","NA","Water displacement method","NA",0.6,0.66,"NA","Biblio","Average","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","Moderately heavy wood"
