"ID","local_name","botanical_id","Species_ID"
2232,"Solom",768,1055
2233,"Matul Jambura",768,1056
2234,"Mokhom",768,1056
2235,"",768,1056
2236,"Pani Lebu",769,1058
2237,"Aitta lemu",769,1058
2238,"Haitta lebu",769,1058
2239,"Bura Lebu",769,1058
2240,"",769,1058
2241,"Komla",770,1126
2242,"Komla Lebu",770,1126
2243,"",770,1126
2244,"Pan-karpur",771,1126
2245,"Dulia maricha",771,1134
2246,"Moricha gota",771,1134
2247,"",771,1192
2248,"Atali phul",772,1192
2249,"Karan Phal",772,1340
2250,"Pan-kafur",772,1340
2251,"Panbahar",772,1340
2252,"Ramkola",772,1340
2253,"",772,1340
2254,"Atali",774,1340
2255,"Athisori",774,14
2256,"Atiswar",774,14
2257,"Ash-sheora",774,14
2258,"Bonjamir",774,14
2259,"Datmajani",774,28
2260,"Matkila",774,28
2261,"Hatipitani",774,28
2262,"Hatichuka",774,133
2263,"Fatik",774,133
2264,"Istel",774,357
2265,"Modira",774,357
2266,"Koethbel",775,357
2267,"Kodbel",775,358
2268,"",775,358
2269,"Bon-lebu",776,359
2270,"Jangli lebu",776,359
2271,"",776,359
2272,"Koroiphula",777,360
2273,"Bankunch",777,360
2274,"Dulia",777,360
2275,"",777,360
2276,"Bar Sunga",778,360
2277,"Bhatraj",778,360
2278,"Gandhal ",778,360
2279,"Kariaphuli",778,360
2280,"Chotokamini",778,361
2281,"Girinim",778,361
2282,"Currypata",778,361
2283,"Khurchin",778,361
2284,"Norsing bising",778,361
2285,"",778,362
2286,"Kamini",779,362
2287,"",779,362
2288,"Machalipoma",780,366
2289,"",780,366
2290,"Cheeninarangi",781,366
2291,"",781,366
2292,"Badrang",782,367
2293,"",782,367
2294,"Badrang",783,367
2295,"Basboruna",783,367
2296,"Borana shak",783,367
2297,"Bazinali ",783,367
2298,"Bajna",783,683
2299,"Kantahorina",783,683
2300,"Tambol",783,683
2301,"Yao roing",783,683
2302,"Miching",783,683
2303,"",783,683
2304,"Bativa",785,683
2305,"Atthalia",785,683
2306,"Gapenda",785,683
2307,"Naricha",785,683
2308,"",785,683
2309,"Patpati",786,683
2310,"Dantrangi",786,834
2311,"Dibru",786,834
2312,"Borsiring ",786,834
2313,"Churri",786,940
2314,"Dantrungi",786,940
2315,"Gapok",786,940
2316,"Rong",786,957
2317,"Thauku kokhra",786,957
2318,"",786,957
2319,"Poplar",787,957
2320,"",787,994
2321,"Bhesh",788,994
2322,"Bias",788,994
2323,"Panijoma",788,994
2324,"Panihijal",788,994
2325,"Panibas",788,994
2326,"",788,994
2327,"Shwet Chandan",789,994
2328,"Sada chandan",789,994
2329,"",789,994
2330,"Chumigola gach",791,995
2331,"Chita",791,995
2332,"Rakhalchita",791,1358
2333,"Aitachita",791,1358
2334,"",791,1382
2335,"Ashphal",793,1382
2336,"Kathlichu",793,1489
2337,"",793,1489
2338,"Paniaphul",794,1490
2339,"Aliar",794,1490
2340,"",794,1490
2341,"Puli Pitha Gachh",796,1490
2342,"",796,1490
2343,"Juribisi",797,1490
2344,"Harpulli",797,1490
2345,"",797,1490
2346,"Chagoler bori",798,1490
2347,"",798,1490
2348,"Baraharina",799,926
2349,"Abigran",799,926
2350,"Apin gach",799,926
2351,"Bandar phul",799,926
2352,"Borkir nadi",799,926
2353,"Chagal guti",799,927
2354,"Chagoler bori",799,927
2355,"Chagoler leda ",799,927
2356,"",799,927
2357,"Ambruj",800,927
2358,"Aphin",800,927
2359,"Nuncha",800,927
2360,"Sagoler bori ",800,927
2361,"Venti phal",800,927
2362,"Gotaharina",800,927
2363,"Amjam",800,1114
2364,"Danura",800,1114
2365,"Baolaharina",800,1175
2366,"Kawajhijhi",800,1175
2367,"",800,1175
2368,"Harina",801,1175
2369,"",801,1175
2370,"Lichu",802,1175
2371,"Lechu",802,1181
2372,"",802,1181
2373,"Jugga horina",803,1181
2374,"Kiupora",803,61
2375,"Khoro gach",803,61
2376,"",803,61
2377,"Ritha",804,61
2378,"Chhotoritha",804,61
2379,"",804,463
2380,"Kusum",805,463
2381,"Joyna",805,463
2382,"Lakkha",805,487
2383,"Kanaizu",805,487
2384,"",805,487
2385,"Bonlichu",806,720
2386,"",806,720
2387,"Bonlichu",807,721
2388,"",807,721
2389,"Star apple",808,721
2390,"",808,821
2391,"Mohua",809,821
2392,"Mahula",809,822
2393,"Maul",809,822
2394,"Moa",809,822
2395,"Matkom",809,822
2396,"",809,822
2397,"Firni",811,822
2398,"Khirni",811,822
2399,"Khirkhejur",811,822
2400,"Khiluni",811,822
2401,"",811,823
2402,"Sofeda",812,823
2403,"Chiku",812,823
2404,"Sappol",812,823
2405,"",812,823
2406,"Bokul",813,823
2407,"Boul",813,823
2408,"",813,823
2409,"Tali",814,823
2410,"Dudhi",814,823
2411,"udha",814,823
2412,"Kurta",814,825
2413,"Lali",814,825
2414,"Thainban",814,840
2415,"Salua",814,840
2416,"",814,840
2417,"Arua",817,974
2418,"Mohanim",817,974
2419,"Maharukha",817,974
2420,"",817,974
2421,"Bonposhla",818,1183
2422,"Gachh Nirbis",818,1183
2423,"Loha morich",818,1183
2424,"Muralia kerong",818,1210
2425,"Nilghanta",818,1210
2426,"Nimtitta",818,1210
2427,"Tita-sasi",818,1210
2428,"",818,1210
2429,"Baichua",819,1487
2430,"Bandarhola",819,1487
2431,"Bolchhim",819,1488
2432,"Hokat",819,1488
2433,"Kacha ",819,341
2434,"Lampati",819,341
2435,"Kahdura jarul",819,882
2436,"Kochan",819,882
2437,"Mrechia",819,882
2438,"Ramdala",819,882
2439,"",819,882
2440,"Lemshi",820,882
2441,"Nona keora",820,912
2442,"",820,912
2443,"Keora",821,912
2444,"Kebra",821,912
2445,"",821,912
2446,"Ora",822,914
2447,"Orali",822,914
2448,"Orcha",822,914
2449,"Shoila",822,914
2450,"",822,972
2451,"Choila",823,972
2452,"Lemshi",823,972
2453,"Tamu",823,1041
2454,"Tapu",823,1041
2455,"",823,1041
2456,"Bhola",824,1041
2457,"Janokijam",824,1041
2458,"Kalabott",824,1041
2459,"Oklayag",824,1041
2460,"",824,1041
2461,"Ulatkambal",825,42
2462,"Ulutkambal",825,42
2463,"Tambol",825,42
2464,"",825,42
2465,"Aynsha udal",826,1086
2466,"Bol ajun",826,1086
