ID_AE,ID_RD,Population,Tree_type,Vegetation_type,location_group,X,Unit_X,Z,Unit_Z,W,Unit_W,U,Unit_U,V,Unit_V,Mean_X,Min_X,Max_X,Mean_Z,Min_Z,Max_Z,Mean_W,Min_W,Max_W,Output,Output_TR,Unit_Y,Min_age,Max_age,Av_age,B,Bd,Bg,Bt,L,Rb,Rf,Rm,S,T,F,Species,Equation,Equation_VarNames,Sample_size,Top_dob,Top_girth_over_bark,Stump_height,Reference,R2,R2_Adjusted,Corrected_for_bias,MSE,RMSE,SE_(Y),SEE,AIC,FI,Bias_correction,Ratio_equation,Segmented_equation,Contributor,Remark,Verified
11,NA,Individual,Tree,Plantation,19,DBH,cm,H,m,NA,NA,NA,NA,NA,NA,NA,5,25,NA,6,18,NA,NA,NA,Green Biomass,Log,kg,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,9,Y = -3.2955 + 1.3142 * Log (X) + 1.0521 * Log (Z),Log Green Biomass = -3.2955 + 1.3142 * Log (DBH) + 1.0521 * Log (H),120,NA,NA,0.1,101,0.5855,NA,NA,0.3355,NA,NA,NA,NA,NA,NA,NA,NA,1,Conversion factor green biomass to oven dry biomass,verified
12,NA,Individual,Tree,Plantation,19,C,cm,H,m,NA,NA,NA,NA,NA,NA,NA,16,79,NA,6,18,NA,NA,NA,Green Biomass,Log,kg,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,9,Y = -4.7999 + 1.3142 * Log (X) + 1.0521 * Log (Z),Log Green Biomass = -4.7999 + 1.3142 * Log (C) + 1.0521 * Log (H),120,NA,NA,0.1,101,0.5855,NA,NA,0.3355,NA,NA,NA,NA,NA,NA,NA,NA,1,Conversion factor green biomass to oven dry biomass,verified
13,NA,Individual,Tree,Plantation,19,DBH,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,25,NA,NA,NA,NA,NA,NA,Green Biomass,Log,kg,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,9,Y = -2.1219 + 1.9299 * Log (X),Log Green Biomass = -2.1219 + 1.9299 * Log (DBH),120,NA,NA,0.1,101,0.7614,NA,NA,0.1568,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,verified
14,NA,Individual,Tree,Plantation,19,C,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,79,NA,NA,NA,NA,NA,NA,Green Biomass,Log,kg,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,9,Y = -4.3311 + 1.9299 * Log (X),Log Green Biomass = -4.3311 + 1.9299 * Log (C),120,NA,NA,0.1,101,0.7614,NA,NA,0.1568,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,verified
15,NA,Individual,Tree,Plantation,19,DBH,cm,H,m,NA,NA,NA,NA,NA,NA,NA,5,25,NA,6,18,NA,NA,NA,Green Biomass,Log,kg,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,9,Y = -0.6183 + 2.8726 * Log (X) - 1.5471 * Log (Z),Log Green Biomass = -0.6183 + 2.8726 * Log (DBH) - 1.5471 * Log (H),120,NA,NA,0.1,101,0.8209,NA,NA,0.098,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,verified
16,NA,Individual,Tree,Plantation,19,C,cm,H,m,NA,NA,NA,NA,NA,NA,NA,16,79,NA,6,18,NA,NA,NA,Green Biomass,Log,kg,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,9,Y = -3.9067 + 2.8726 * Log (X) - 1.5471 * Log (Z),Log Green Biomass = -3.9067 + 2.8726 * Log (C) - 1.5471 * Log (H),120,NA,NA,0.1,101,0.8209,NA,NA,0.098,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,verified
17,NA,Individual,Tree,Plantation,19,DBH,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,25,NA,NA,NA,NA,NA,NA,Green Biomass,Log,kg,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,9,Y = -2.0512 + 2.6006 * Log (X),Log Green Biomass = -2.0512 + 2.6006 * Log (DBH),120,NA,NA,0.1,101,0.9641,NA,NA,0.0339,NA,NA,NA,NA,NA,NA,NA,NA,1,Equations with DBH is more suitable than equations with DBH and H,verified
18,NA,Individual,Tree,Plantation,19,C,cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,79,NA,NA,NA,NA,NA,NA,Green Biomass,Log,kg,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,9,Y = -5.0282 + 2.6006 * Log (X),Log Green Biomass = -5.0282 + 2.6006 * Log (C),120,NA,NA,0.1,101,0.9641,NA,NA,0.0339,NA,NA,NA,NA,NA,NA,NA,NA,1,Equations with DBH is more suitable than equations with DBH and H,verified
19,NA,Individual,Tree,Plantation,19,DBH,cm,H,m,NA,NA,NA,NA,NA,NA,NA,5,25,NA,6,18,NA,NA,NA,Green Biomass,Log,kg,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,9,Y = -2.9256 + 2.0525 * Log (X) + 0.8996 * Log (Z),Log Green Biomass = -2.9256 + 2.0525 * Log (DBH) + 0.8996 * Log (H),120,NA,NA,0.1,101,0.9785,NA,NA,0.0201,NA,NA,NA,NA,NA,NA,NA,NA,1,Equations with DBH is more suitable than equations with DBH and H,verified
20,NA,Individual,Tree,Plantation,19,C,cm,H,m,NA,NA,NA,NA,NA,NA,NA,16,79,NA,6,18,NA,NA,NA,Green Biomass,Log,kg,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,9,Y = -5.2752 + 2.0525 * Log (X) + 0.8996 * Log (Z),Log Green Biomass = -5.2752 + 2.0525 * Log (C) + 0.8996 * Log (H),120,NA,NA,0.1,101,0.9785,NA,NA,0.0201,NA,NA,NA,NA,NA,NA,NA,NA,1,Equations with DBH is more suitable than equations with DBH and H,verified
